Ticker,city,state,country,industry,sector,fullTimeEmployees,exchange,shortName,longName
COO,San Ramon,CA,United States,Medical Instruments & Supplies,Healthcare,15000,NMS,"The Cooper Companies, Inc.","The Cooper Companies, Inc."
CPRT,Dallas,TX,United States,Specialty Business Services,Industrials,12000,NMS,"Copart, Inc.","Copart, Inc."
GLW,Corning,NY,United States,Electronic Components,Technology,57500,NYQ,Corning Incorporated,Corning Incorporated
CTVA,Indianapolis,IN,United States,Agricultural Inputs,Basic Materials,21000,NYQ,"Corteva, Inc.","Corteva, Inc."
CSGP,Washington,DC,United States,Real Estate Services,Real Estate,5653,NMS,"CoStar Group, Inc.","CoStar Group, Inc."
COST,Issaquah,WA,United States,Discount Stores,Consumer Defensive,316000,NMS,Costco Wholesale Corporation,Costco Wholesale Corporation
CTRA,Houston,TX,United States,Oil & Gas E&P,Energy,981,NYQ,Coterra Energy Inc.,Coterra Energy Inc.
CCI,Houston,TX,United States,REIT - Specialty,Real Estate,5000,NYQ,Crown Castle Inc.,Crown Castle Inc.
CSX,Jacksonville,FL,United States,Railroads,Industrials,22500,NMS,CSX Corporation,CSX Corporation
CMI,Columbus,IN,United States,Specialty Industrial Machinery,Industrials,73600,NYQ,Cummins Inc.,Cummins Inc.
CVS,Woonsocket,RI,United States,Healthcare Plans,Healthcare,219000,NYQ,CVS Health Corporation,CVS Health Corporation
DHI,Arlington,TX,United States,Residential Construction,Consumer Cyclical,13237,NYQ,"D.R. Horton, Inc.","D.R. Horton, Inc."
DHR,Washington,DC,United States,Diagnostics & Research,Healthcare,79000,NYQ,Danaher Corporation,Danaher Corporation
DRI,Orlando,FL,United States,Restaurants,Consumer Cyclical,187384,NYQ,"Darden Restaurants, Inc.","Darden Restaurants, Inc."
DVA,Denver,CO,United States,Medical Care Facilities,Healthcare,70000,NYQ,DaVita Inc.,DaVita Inc.
DE,Moline,IL,United States,Farm & Heavy Construction Machinery,Industrials,82200,NYQ,Deere & Company,Deere & Company
DAL,Atlanta,GA,United States,Airlines,Industrials,100000,NYQ,"Delta Air Lines, Inc.","Delta Air Lines, Inc."
XRAY,Charlotte,NC,United States,Medical Instruments & Supplies,Healthcare,15000,NMS,DENTSPLY SIRONA Inc.,DENTSPLY SIRONA Inc.
DVN,Oklahoma City,OK,United States,Oil & Gas E&P,Energy,1800,NYQ,Devon Energy Corporation,Devon Energy Corporation
DXCM,San Diego,CA,United States,Medical Devices,Healthcare,7500,NMS,"DexCom, Inc.","DexCom, Inc."
FANG,Midland,TX,United States,Oil & Gas E&P,Energy,972,NMS,"Diamondback Energy, Inc.","Diamondback Energy, Inc."
DLR,Austin,TX,United States,REIT - Specialty,Real Estate,3412,NYQ,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc."
DFS,Riverwoods,IL,United States,Credit Services,Financial Services,20200,NYQ,Discover Financial Services,Discover Financial Services
DIS,Burbank,CA,United States,Entertainment,Communication Services,171600,NYQ,Walt Disney Company (The),The Walt Disney Company
DG,Goodlettsville,TN,United States,Discount Stores,Consumer Defensive,170000,NYQ,Dollar General Corporation,Dollar General Corporation
DLTR,Chesapeake,VA,United States,Discount Stores,Consumer Defensive,65025,NMS,"Dollar Tree, Inc.","Dollar Tree, Inc."
D,Richmond,VA,United States,Utilities - Regulated Electric,Utilities,17200,NYQ,"Dominion Energy, Inc.","Dominion Energy, Inc."
DPZ,Ann Arbor,MI,United States,Restaurants,Consumer Cyclical,6500,NYQ,Domino's Pizza Inc,"Domino's Pizza, Inc."
DOV,Downers Grove,IL,United States,Specialty Industrial Machinery,Industrials,25000,NYQ,Dover Corporation,Dover Corporation
DOW,Midland,MI,United States,Chemicals,Basic Materials,37800,NYQ,Dow Inc.,Dow Inc.
DTE,Detroit,MI,United States,Utilities - Regulated Electric,Utilities,10102,NYQ,DTE Energy Company,DTE Energy Company
DUK,Charlotte,NC,United States,Utilities - Regulated Electric,Utilities,27859,NYQ,Duke Energy Corporation (Holdin,Duke Energy Corporation
DD,Wilmington,DE,United States,Specialty Chemicals,Basic Materials,23000,NYQ,"DuPont de Nemours, Inc.","DuPont de Nemours, Inc."
EMN,Kingsport,TN,United States,Specialty Chemicals,Basic Materials,14500,NYQ,Eastman Chemical Company,Eastman Chemical Company
ETN,Dublin,,Ireland,Specialty Industrial Machinery,Industrials,92000,NYQ,"Eaton Corporation, PLC",Eaton Corporation plc
EBAY,San Jose,CA,United States,Internet Retail,Consumer Cyclical,11600,NMS,eBay Inc.,eBay Inc.
ECL,Saint Paul,MN,United States,Specialty Chemicals,Basic Materials,47000,NYQ,Ecolab Inc.,Ecolab Inc.
EIX,Rosemead,CA,United States,Utilities - Regulated Electric,Utilities,13388,NYQ,Edison International,Edison International
EW,Irvine,CA,United States,Medical Devices,Healthcare,17300,NYQ,Edwards Lifesciences Corporatio,Edwards Lifesciences Corporation
EA,Redwood City,CA,United States,Electronic Gaming & Multimedia,Communication Services,13400,NMS,Electronic Arts Inc.,Electronic Arts Inc.
ELV,Indianapolis,IN,United States,Healthcare Plans,Healthcare,102300,NYQ,"Elevance Health, Inc.","Elevance Health, Inc."
LLY,Indianapolis,IN,United States,Drug Manufacturers - General,Healthcare,39000,NYQ,Eli Lilly and Company,Eli Lilly and Company
EMR,Saint Louis,MO,United States,Specialty Industrial Machinery,Industrials,85500,NYQ,Emerson Electric Company,Emerson Electric Co.
ENPH,Fremont,CA,United States,Solar,Technology,2821,NGM,"Enphase Energy, Inc.","Enphase Energy, Inc."
ETR,New Orleans,LA,United States,Utilities - Regulated Electric,Utilities,12000,NYQ,Entergy Corporation,Entergy Corporation
EOG,Houston,TX,United States,Oil & Gas E&P,Energy,2850,NYQ,"EOG Resources, Inc.","EOG Resources, Inc."
EPAM,Newtown,PA,United States,Information Technology Services,Technology,59300,NYQ,"EPAM Systems, Inc.","EPAM Systems, Inc."
EQT,Pittsburgh,PA,United States,Oil & Gas E&P,Energy,744,NYQ,EQT Corporation,EQT Corporation
EFX,Atlanta,GA,United States,Consulting Services,Industrials,14000,NYQ,"Equifax, Inc.",Equifax Inc.
EQIX,Redwood City,CA,United States,REIT - Specialty,Real Estate,12621,NMS,"Equinix, Inc.","Equinix, Inc."
EQR,Chicago,IL,United States,REIT - Residential,Real Estate,2400,NYQ,Equity Residential,Equity Residential
ESS,San Mateo,CA,United States,REIT - Residential,Real Estate,1770,NYQ,"Essex Property Trust, Inc.","Essex Property Trust, Inc."
EL,New York,NY,United States,Household & Personal Products,Consumer Defensive,44020,NYQ,"Estee Lauder Companies, Inc. (T",The Estée Lauder Companies Inc.
ETSY,Brooklyn,NY,United States,Internet Retail,Consumer Cyclical,2790,NMS,"Etsy, Inc.","Etsy, Inc."
EG,Hamilton,,Bermuda,Insurance - Reinsurance,Financial Services,2428,NYQ,"Everest Group, Ltd.","Everest Group, Ltd."
EVRG,Kansas City,MO,United States,Utilities - Regulated Electric,Utilities,4512,NMS,"Evergy, Inc.","Evergy, Inc."
ES,Springfield,MA,United States,Utilities - Regulated Electric,Utilities,10000,NYQ,Eversource Energy (D/B/A),Eversource Energy
EXC,Chicago,IL,United States,Utilities - Regulated Electric,Utilities,19063,NMS,Exelon Corporation,Exelon Corporation
EXPE,Seattle,WA,United States,Travel Services,Consumer Cyclical,16500,NMS,"Expedia Group, Inc.","Expedia Group, Inc."
EXPD,Seattle,WA,United States,Integrated Freight & Logistics,Industrials,19900,NMS,Expeditors International of Was,"Expeditors International of Washington, Inc."
EXR,Salt Lake City,UT,United States,REIT - Industrial,Real Estate,4781,NYQ,Extra Space Storage Inc,Extra Space Storage Inc.
XOM,Irving,TX,United States,Oil & Gas Integrated,Energy,62000,NYQ,Exxon Mobil Corporation,Exxon Mobil Corporation
FFIV,Seattle,WA,United States,Software - Infrastructure,Technology,6149,NMS,"F5, Inc.","F5, Inc."
FDS,Norwalk,CT,United States,Financial Data & Stock Exchanges,Financial Services,12237,NYQ,FactSet Research Systems Inc.,FactSet Research Systems Inc.
FICO,Bozeman,MT,United States,Software - Application,Technology,3437,NYQ,Fair Isaac Corproation,Fair Isaac Corporation
FAST,Winona,MN,United States,Industrial Distribution,Industrials,20284,NMS,Fastenal Company,Fastenal Company
FRT,North Bethesda,MD,United States,REIT - Retail,Real Estate,314,NYQ,Federal Realty Investment Trust,Federal Realty Investment Trust
FDX,Memphis,TN,United States,Integrated Freight & Logistics,Industrials,328000,NYQ,FedEx Corporation,FedEx Corporation
FITB,Cincinnati,OH,United States,Banks - Regional,Financial Services,19319,NMS,Fifth Third Bancorp,Fifth Third Bancorp
FSLR,Tempe,AZ,United States,Solar,Technology,5500,NMS,"First Solar, Inc.","First Solar, Inc."
FE,Akron,OH,United States,Utilities - Regulated Electric,Utilities,12335,NYQ,FirstEnergy Corp.,FirstEnergy Corp.
FIS,Jacksonville,FL,United States,Information Technology Services,Technology,69000,NYQ,Fidelity National Information S,"Fidelity National Information Services, Inc."
FI,Brookfield,WI,United States,Information Technology Services,Technology,41000,NYQ,"Fiserv, Inc.","Fiserv, Inc."
FLT,Atlanta,GA,United States,Software - Infrastructure,Technology,9900,NYQ,"FleetCor Technologies, Inc.","FLEETCOR Technologies, Inc."
FMC,Philadelphia,PA,United States,Agricultural Inputs,Basic Materials,6600,NYQ,FMC Corporation,FMC Corporation
F,Dearborn,MI,United States,Auto Manufacturers,Consumer Cyclical,173000,NYQ,Ford Motor Company,Ford Motor Company
FTNT,Sunnyvale,CA,United States,Software - Infrastructure,Technology,13677,NMS,"Fortinet, Inc.","Fortinet, Inc."
FTV,Everett,WA,United States,Scientific & Technical Instruments,Technology,18000,NYQ,Fortive Corporation,Fortive Corporation
FOXA,New York,NY,United States,Entertainment,Communication Services,10400,NMS,Fox Corporation,Fox Corporation
FOX,New York,NY,United States,Entertainment,Communication Services,10400,NMS,Fox Corporation,Fox Corporation
BEN,San Mateo,CA,United States,Asset Management,Financial Services,9300,NYQ,"Franklin Resources, Inc.","Franklin Resources, Inc."
FCX,Phoenix,AZ,United States,Copper,Basic Materials,25600,NYQ,"Freeport-McMoRan, Inc.",Freeport-McMoRan Inc.
GRMN,Schaffhausen,,Switzerland,Scientific & Technical Instruments,Technology,19700,NYQ,Garmin Ltd.,Garmin Ltd.
IT,Stamford,CT,United States,Information Technology Services,Technology,20104,NYQ,"Gartner, Inc.","Gartner, Inc."
GEHC,Chicago,IL,United States,Health Information Services,Healthcare,50000,NMS,GE HealthCare Technologies Inc.,GE HealthCare Technologies Inc.
GEN,Tempe,AZ,United States,Software - Infrastructure,Technology,3700,NMS,Gen Digital Inc.,Gen Digital Inc.
GNRC,Waukesha,WI,United States,Specialty Industrial Machinery,Industrials,9160,NYQ,Generac Holdlings Inc.,Generac Holdings Inc.
GD,Reston,VA,United States,Aerospace & Defense,Industrials,106500,NYQ,General Dynamics Corporation,General Dynamics Corporation
GE,Boston,MA,United States,Specialty Industrial Machinery,Industrials,172000,NYQ,General Electric Company,General Electric Company
GIS,Minneapolis,MN,United States,Packaged Foods,Consumer Defensive,34000,NYQ,"General Mills, Inc.","General Mills, Inc."
GM,Detroit,MI,United States,Auto Manufacturers,Consumer Cyclical,167000,NYQ,General Motors Company,General Motors Company
GPC,Atlanta,GA,United States,Specialty Retail,Consumer Cyclical,58000,NYQ,Genuine Parts Company,Genuine Parts Company
